packName,packLevel,sex,count,coatColor
Mollie's,Adult,Female,1,Gray
Mollie's,Adult,Female,1,Black
Mollie's,Adult,Male,1,Gray
Mollie's,Adult,Male,1,Black
Mollie's,Yearling,Male,1,Black
Mollie's,Yearling,Undetermined,2,Gray
Mollie's,Pup,Undetermined,2,Black
Mollie's,Pup,Undetermined,1,Gray
Cougar Creek,Adult,Female,2,Black
Cougar Creek,Adult,Male,1,Black
Cougar Creek,Yearling,Female,2,Black
Cougar Creek,Yearling,Undetermined,1,Black
Wapiti Lake,Adult,Male,1,Black
Wapiti Lake,Adult,Female,1,Graying with Age
Wapiti Lake,Adult,Female,1,Gray
Wapiti Lake,Adult,Female,1,Gray
Wapiti Lake,Adult,Female,1,Gray
Wapiti Lake,Yearling,Female,1,Black
Wapiti Lake,Yearling,Male,1,Black
Wapiti Lake,Yearling,Undetermined,1,Black
Wapiti Lake,Yearling,Undetermined,1,Gray
Wapiti Lake,Yearling,Undetermined,1,Gray
Wapiti Lake,Yearling,Female,1,Black
Wapiti Lake,Yearling,Male,1,Black
Wapiti Lake,Pup,Undetermined,1,Black
Wapiti Lake,Pup,Undetermined,1,Black
Wapiti Lake,Pup,Undetermined,1,Black
Wapiti Lake,Pup,Undetermined,1,Black
Wapiti Lake,Pup,Undetermined,1,Gray
Wapiti Lake,Pup,Undetermined,1,Gray
Wapiti Lake,Pup,Undetermined,1,Gray
Junction Butte,Adult,Female,2,Black
Junction Butte,Adult,Male,4,Black
Junction Butte,Adult,Female,1,Gray
Junction Butte,Yearling,Female,2,Black
Junction Butte,Yearling,Female,1,Gray
Junction Butte,Yearling,Male,1,Gray
Junction Butte,Pup,Undetermined,6,Black
Bechler,Adult,Undetermined,1,Gray
Bechler,Adult,Male,1,Gray
Bechler,Yearling,Undetermined,2,Gray
Phantom Lake,Adult,Male,1,Gray
Phantom Lake,Adult,Female,1,Gray
Phantom Lake,Adult,Female,1,Black
Phantom Lake,Adult,Female,1,Undetermined
Phantom Lake,Adult,Male,1,Gray
Phantom Lake,Adult,Female,1,Gray
Phantom Lake,Adult,Female,1,Black
Phantom Lake,Yearling,Undetermined,1,Black
Phantom Lake,Yearling,Undetermined,1,Black
Phantom Lake,Yearling,Undetermined,1,Gray
Phantom Lake,Pup,Undetermined,1,Gray
Phantom Lake,Pup,Undetermined,1,Gray
Phantom Lake,Pup,Undetermined,1,Gray
Lone Wolves,Adult,Female,2,Black
Lone Wolves,Adult,Male,1,Black
Eight Mile,Adult,Male,3,Black
Eight Mile,Adult,Male,2,Gray
Eight Mile,Adult,Female,1,Gray
Eight Mile,Adult,Female,1,Black
Eight Mile,Yearling,Undetermined,1,Gray
Eight Mile,Yearling,Undetermined,1,Black
Eight Mile,Yearling,Male,3,Black
Eight Mile,Yearling,Male,1,Gray
Eight Mile,Pup,Undetermined,4,Black
